class,location,Parameter,PAHs,threshold comments
organics,sd,Benzo(b)Fluoranthene,HPAH,
organics,sd,Benzo(e)pyrene,HPAH,
organics,sd,Benzo[a]anthracene,HPAH,
organics,sd,Benzo[a]pyrene,HPAH,
organics,sd,Benzo[e]pyrene,HPAH,
organics,sd,Beta-BHC,,
organics,sd,Bifenthrin,,
organics,sd,Biphenyl,LPAH,
organics,sd,Chlordane,,"Can sum chlordanes, but of course exclude technical chlordane if that value is provided. Chlordane threshold for Newport Bay is 2.26 ug/kg dry."
organics,sd,Chrysene,HPAH,
organics,sd,Cis-Permethrin,,
organics,sd,Cyfluthrin,,
organics,sd,Cypermethrin,,
organics,sd,Dalapon,,
organics,sd,DDT,,can sum DDTs. Thresholds are 3.89 ug/kg dry for Newport Bay and 6.89 ug/kg dry for San Diego Creek and tributaries.
organics,sd,Delta-BHC,,
organics,sd,Deltamethrin,,
organics,sd,"Dibenz[a,h]anthracene",HPAH,
organics,sd,Dicamba,,
organics,sd,Dichlorprop,,
organics,sd,Dieldrin,,
organics,sd,Dinoseb,,
organics,sd,Endosulfan I,,
organics,sd,Endosulfan II,,
organics,sd,Endosulfan Sulfate,,
organics,sd,Endrin,,
organics,sd,Endrin Aldehyde,,
organics,sd,Endrin Ketone,,
organics,sd,Fluoranthene,HPAH,
organics,sd,Fluorene,LPAH,
organics,sd,Gamma-BHC,,
organics,sd,Heptachlor,,
organics,sd,Heptachlor Epoxide,,
organics,sd,L-Cyhalothrin,,
organics,sd,MCPA,,
organics,sd,MCPP,,
organics,sd,Methoxychlor,,
organics,sd,Mirex,,
organics,sd,Naphthalene,LPAH,
organics,sd,Nitrogen-S,,
organics,sd,OxyChlordane,,
organics,sd,PCB,,sum PCBs. Newport Bay threshold is 21.5 ug/kg dry.
organics,sd,Permethrin,,
organics,sd,Perthane,,
organics,sd,Perylene,HPAH,
organics,sd,pH,,
organics,sd,Phenanthrene,LPAH,
organics,sd,Phosphorus-S,,
organics,sd,Prallethrin,,
organics,sd,Prometon,,
organics,sd,Prometryn,,
organics,sd,Pyrene,HPAH,
organics,sd,Sb,,
organics,sd,Simazine,,
organics,sd,Tl,,
organics,sd,TOC-S,,
organics,sd,Total chlordane,,see above for chlordane
organics,sd,Toxaphene,,0.1 ug/kg dry for San Diego Creek and tribs
organics,sd,Trans-Nonachlor,,
organics,sd,Trans-Permethrin,,
organics,wc,Aldrin,,
organics,wc,Allethrin,,
organics,wc,Alpha-BHC,,
organics,wc,Azinphos methyl (Guthion),,
organics,wc,Be,,none
organics,wc,Beta-BHC,,
organics,wc,Bifenthrin,,
organics,wc,Bolstar,,
organics,wc,Chlorpyrifos,,14 ng/L
organics,wc,Cis-Permethrin,,
organics,wc,Coumaphos,,
organics,wc,Cyfluthrin,,
organics,wc,Cypermethrin,,
organics,wc,DDT,,total DDT 0.59 ng/L in Newport Bay and tributaries
organics,wc,Delta-BHC,,
organics,wc,Deltamethrin,,
organics,wc,Demeton-o,,
organics,wc,Demeton-s,,
organics,wc,Diazinon,,"50 ng/L in Newport watershed, 100 ng/L elsewhere"
organics,wc,Dichlorvos,,
organics,wc,Dieldrin,,
organics,wc,Dimethoate,,
organics,wc,Disulfoton,,
organics,wc,Endrin,,
organics,wc,Endrin Aldehyde,,
organics,wc,Ethoprop,,
organics,wc,Ethyl Parathion,,
organics,wc,Fensulfothion,,
organics,wc,Fenthion,,
organics,wc,Gamma-BHC,,
organics,wc,GLYP,,
organics,wc,Heptachlor,,Total chlordanes 0.59 ng/L in Newport Bay only
organics,wc,Heptachlor Epoxide,,
organics,wc,L-Cyhalothrin,,
organics,wc,Malathion,,
organics,wc,Merphos,,
organics,wc,Methoxychlor,,
organics,wc,Mevinphos,,
organics,wc,Mirex,,
organics,wc,Parathion-methyl,,
organics,wc,PCB,,total PCBs 0.17 ng/L in Newport Bay only
organics,wc,Permethrin,,
organics,wc,pH,,">6.5 & <8.5 in FW, >7 & <8.6 in enclosed bays and estuaries"
organics,wc,Phorate,,
organics,wc,Prallethrin,,
organics,wc,Ronnel,,
organics,wc,Sb,,14 ug/L from CTR
organics,wc,Tetrachlorovinphos,,
organics,wc,Tl,,1.7 ug/L from CTR
organics,wc,Tokuthion,,
organics,wc,Total chlordane,,Total chlordanes 0.59 ng/L in Newport Bay only
organics,wc,Toxaphene,,0.75 ng/L in San Diego Creek and tribs only
organics,wc,Trans-Permethrin,,
organics,wc,Trichloronate,,
