"ProjectProgramCode","StationOrder","StationCode","QC","SubArea","Watershed","SamplePosition","TemplateNumber","AltStationCode","StationDescription","AddlStationDescription","Flag","StationGroup","RandomTarget","StationID","StationOwner","Latitude","Longitude","StationType","HUC","LandUse","DrainageArea","DrainageAreaUnits","ChannelType","FlowType","HyperLinkString","DrainageFacility","LastUpdateUser","LastUpdateDate","MRN","ActiveFlag"
6,"11.0","CMFWD03INLET","0",,"Santa Ana River",,4,,"Costa Mesa",,,"Target","Eliminated 15",4339,,"33.666069999999998","-117.93948","Outfall",,,,,,,,,"PFRDNET\spkatlabweb2301$","2016-03-29 08:29:07.900","*1000-60-8854*","1"
6,"12.0","CMFWPONDC","0",,"Santa Ana River",,4,,"Costa Mesa",,,"Target","Eliminated 15",4340,,"33.667859999999997","-117.94047","Outfall",,,"0.0",,,,,,"PFRDNET\spkatlabweb2301$","2016-03-29 08:29:37.930","*1000-60-8855*","1"
6,"13.0","CMFWPONDE","0",,"Santa Ana River",,4,,"Costa Mesa",,,"Target","Eliminated 15",4341,,"33.666260000000001","-117.9422","Outfall",,,"0.0",,,,,,"PFRDNET\spkatlabweb2301$","2016-03-29 08:29:54.267","*1000-60-8857*","1"
6,"14.0","COC01S01@MT","0",,"San Gabriel River - Coyote Creek",,4,,"County of Orange",,,"Target","Targeted",2281,,"33.789772999999997","-118.077293","Outfall",,,,,,,,,"PFRDNET\spkatlabweb2301$","2015-04-08 11:48:22.273","*1000-43-4606*","1"
6,"15.0","COC01S03","0",,"San Gabriel River - Coyote Creek",,4,,"County of Orange",,,"Random","Random",2151,,"33.782890000000002","-118.07644999999999","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/COC01S03_County/",,"PFRDNET\spkatlabweb2301$","2015-04-08 11:49:08.977","*1000-34-7039*","1"
6,"16.0","COF07ESP@CRN","0",,"Newport Bay",,4,,"County of Orange",,,"Target","Eliminated 10",2282,,,,"Outfall",,,,,,,,,"LabTrackApiUser","2016-11-16 12:34:37.537","*1000-43-4604*","1"
6,"17.0","COF07S01","0",,"Newport Bay",,4,,"County of Orange",,,"Target","Targeted",2084,,"33.751199999999997","-117.80347","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/COF07S01_County/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.303","*1000-34-6919*","1"
6,"18.0","COF13@FH","0",,"Newport Bay",,4,,"County of Orange",,,"Random","Random",2085,,"33.767090000000003","-117.79553","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/COF13@FH_County/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.323","*1000-34-6923*","1"
6,"19.0","COSACC@F01","0",,"Newport Bay",,4,,"Santa Ana",,,"Target","Eliminated 10",2086,,"33.66525","-117.88273","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/COSACC@F01_County/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.357","*1000-34-6927*","1"
6,"20.0","CYPB00P01","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Random","Eliminated 16",2087,,"33.833190000000002","-118.06167000000001","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/CYPB00P01_Cypress/",,"LabTrackApiUser","2017-03-30 07:22:31.537","*1000-34-6930*","1"
6,"21.0","CYPB0178@VL","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Target","Targeted",4342,,"33.818570000000001","-118.05898000000001","Outfall",,,"0.0",,,,,,"PFRDNET\spkatlabweb2301$","2013-05-10 10:41:07.340","*1000-60-8858*","1"
6,"22.0","CYPB01PS1","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Target","Eliminated 13",2088,,"33.815060000000003","-118.04357","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/CYPB01PS1_Cypress/",,"PFRDNET\spkatlabweb2301$","2013-05-10 06:44:11.470","*1000-34-6353*","1"
6,"23.0","CYPB01PS2","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Target","Eliminated 11",2089,,"33.814889999999998","-118.05082","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/CYPB01PS2_Cypress/",,"LabTrackApiUser","2016-09-14 16:01:56.903","*1000-34-6355*","1"
6,"24.0","CYPB01PS3","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Target","Eliminated 11",2090,,"33.811920000000001","-117.85923","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/CYPB01PS3_Cypress/",,"LabTrackApiUser","2016-09-14 16:02:17.093","*1000-34-6357*","1"
6,"25.0","CYPB01S01","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Target","Eliminated 09",2091,,"33.817860000000003","-118.05656","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/CYPB01S01_Cypress/",,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.383","*1000-34-6931*","1"
6,"26.0","CYPSTANT@VV","0",,"San Gabriel River - Coyote Creek",,4,,"Cypress",,,"Target","Eliminated 15",3081,,"33.799370000000003","-118.02802","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/CYPB01PS2_Cypress/",,"PFRDNET\spkatlabweb2301$","2012-04-05 08:48:49.337","*1000-50-5011*","1"
6,"27.0","FULA0272@AH","0",,"San Gabriel River - Coyote Creek",,4,,"Fullerton",,,"Target","Eliminated 17",4488,,"33.87724","-117.96369","Outfall",,,,,,,,,"LabTrackApiUser","2017-04-24 16:10:58.213","*1000-65-5101*","1"
6,"28.0","FULA03S05","0",,"San Gabriel River - Coyote Creek",,4,,"Fullerton",,,"Target","Targeted",2092,,"33.864849999999997","-117.9113","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/FULA03S05_Fullerton/",,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.383","*1000-34-6933*","1"
6,"29.0","FULB01@SCO","0",,"San Gabriel River - Coyote Creek",,4,,"Fullerton",,,"Target","Eliminated 14",2093,,"33.858020000000003","-117.8897","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/FULB01@SCO_Fullerton/",,"PFRDNET\spkatlabweb2301$","2014-04-24 15:09:40.380","*1000-34-6934*","1"
6,"30.0","FVES@D05","0",,"Santa Ana River",,4,,"Fountain Valley",,,"Target","Targeted",2094,,"33.703609999999998","-117.93722","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/FVES@D05_Fountain Valley/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.590","*1000-34-6935*","1"
6,"31.0","GGABCRCB@EUC","0",,"Santa Ana River",,4,,"Anaheim",,,"Target","Eliminated 16",4487,,"33.797890000000002","-117.94165","Outfall",,,,,,,,,"LabTrackApiUser","2017-03-30 07:22:54.913","*1000-65-5106*","1"
6,"32.0","GGBEL@VV","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Target","Eliminated 13",2095,,"33.78492","-118.02901","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/GGBEL@VV_Garden Grove/",,"PFRDNET\spkatlabweb2301$","2013-08-21 11:05:35.860","*1000-34-6342*","1"
6,"33.0","GGC02VVC@SP","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Target","Eliminated 09",2096,,"33.774619999999999","-118.02028","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/GGKNOTT@BEL_Garden Grove/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.590","*1000-34-6938*","1"
6,"34.0","GGC04@EUC","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Target","Eliminated 11",2097,,"33.766509999999997","-117.93857","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/GGC04@EUC_Garden Grove/",,"LabTrackApiUser","2016-11-16 12:35:15.023","*1000-34-6344*","1"
6,"35.0","GGC04@MAL","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Random","Random",2098,,"33.76567","-117.94288","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/GGC04@MAL_Garden Grove/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.603","*1000-34-6939*","1"
6,"36.0","GGC05@TR","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Target","Eliminated 11",2099,,"33.7667","-117.91489","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/GGC05@TR_Garden Grove/",,"LabTrackApiUser","2016-09-14 16:10:21.967","*1000-34-6345*","1"
6,"37.0","GGHKWC02S01","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Target","Eliminated 07",2100,,"33.799166999999997","-118.005",,,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/GGHKWC02S01_Garden Grove/",,"PFRDNET\spkatlabweb2301$","2013-08-21 11:07:37.110","*1000-34-6941*","1"
6,"38.0","GGKHC02S01","0",,"San Gabriel River - Coyote Creek",,4,,"GardenGrove",,,"Target","Eliminated 09",2101,,"33.857770000000002","-117.88943999999999","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/GGKHC02S01_Garden Grove/",,"PFRDNET\spkatlabweb2301$","2015-04-08 11:52:37.347","*1000-34-6942*","1"
6,"39.0","GGKNOTT@BEL","0",,"Anaheim Bay - Huntington Harbor",,4,,"GardenGrove",,,"Target","Eliminated 09",2102,,"33.784439999999996","-118.01139000000001","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/GGKNOTT@BEL_Garden Grove/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.620","*1000-34-6943*","1"
6,"40.0","GGSHAN84@CHP","0",,"Anaheim Bay - Huntington Harbor",,4,,"Garden Grove",,,"Target","Eliminated 17",4343,,"33.788699999999999","-117.96513","Outfall",,,"0.0",,,,,,"LabTrackApiUser","2017-04-24 16:11:13.470","*1000-60-8859*","1"
6,"41.0","HBC04@BOLAVE","0",,"Anaheim Bay - Huntington Harbor",,4,,"Huntington Beach",,,"Target","Eliminated 13",2283,,"33.730150000000002","-118.04134000000001","Channel",,,,,,,,,"PFRDNET\spkatlabweb2301$","2013-08-21 11:08:32.433","*1000-43-4600*","1"
6,"42.0","HBC04@BOLCHI","0",,"Anaheim Bay - Huntington Harbor",,4,,"Huntington Beach",,,"Target","Eliminated 13",2284,,"33.744050000000001","-118.02184","Channel",,,,,,,,,"PFRDNET\spkatlabweb2301$","2013-08-21 11:08:58.077","*1000-43-4602*","1"
6,"43.0","HBC05S04@BRG","0",,"Anaheim Bay - Huntington Harbor",,4,,"Huntington Beach",,,"Target","Targeted",2103,,"33.708460000000002","-118.03309","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/HBC05S04@BRG_Huntington Beach/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.630","*1000-34-6945*","1"
6,"44.0","HBMC@C05","0",,"Anaheim Bay - Huntington Harbor",,4,,"Huntington Beach",,,"Random","Random",2104,,"33.717599999999997","-118.00265","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/HBMC@C05_Huntington Beach/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.630","*1000-34-6946*","1"
6,"45.0","HBMC@HEIL","0",,"Anaheim Bay - Huntington Harbor",,4,,"Huntington Beach",,,"Target","Eliminated 16",4349,,"33.722470000000001","-118.00245","Outfall",,,,,,,,,"LabTrackApiUser","2017-04-03 08:17:38.313","*1000-61-1281*","1"
6,"46.0","IRVF05P07","0",,"Newport Bay",,4,,"Irvine",,,"Random","Random",2105,,"33.636389999999999","-117.72499999999999","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/IRVF05P07_Irvine/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.697","*1000-34-6947*","1"
6,"47.0","IRVF05TBN1","0",,"Newport Bay",,4,,"Irvine",,,"Random","Random",2106,,"33.687809999999999","-117.8265","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/IRVF05P07_Irvine/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.713","*1000-34-6949*","1"
6,"48.0","IRVF05TBN2","0",,"Newport Bay",,4,,"Irvine",,,"Target","Targeted",2107,,"33.688549999999999","-117.81935","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/IRVF05P07_Irvine/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.730","*1000-34-6951*","1"
6,"49.0","*IRVF06@CC","0",,"Newport Bay",,4,,"Irvine",,,,,2108,,,,,,,,,,,,,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.300","*1000-34-6952*","1"
6,"50.0","IRVF06P06","0",,"Newport Bay",,4,,"Irvine",,,"Target","Targeted",2109,,"33.691780000000001","-117.82307","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/IRVF06P06_Irvine/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.740","*1000-34-6955*","1"
6,"51.0","IRVF06S03","0",,"Newport Bay",,4,,"Irvine",,,"Target","Eliminated 07",2110,,"33.699019999999997","-117.79262",,,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/IRVF06S03_Irvine/",,"PFRDNET\AbellarR","2010-06-02 15:56:03.847","*1000-34-6956*","1"
6,"52.0","IRVF08P01","0",,"Newport Bay",,4,,"Irvine",,,"Random","Random",2111,,"33.680280000000003","-117.85028","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/IRVF08P01_Irvine/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.753","*1000-34-6957*","1"
6,"53.0","IRVF08RCP36","0",,"Newport Bay",,4,,"Irvine",,,"Target","Targeted",2285,,"33.681432999999998","-117.85258899999999","Outfall",,,,,,,,,"PFRDNET\AbellarR","2011-06-15 11:07:09.133","*1000-43-4608*","1"
6,"54.0","IRVF09P03","0",,"Newport Bay",,4,,"Irvine",,,"Random","Eliminated 07",2112,,"33.688099999999999","-117.84236",,,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/IRVF09P03_Irvine/",,"PFRDNET\spkatlabweb2301$","2012-06-07 15:20:28.800","*1000-34-6958*","1"
6,"55.0","IRVF20@ETGCC","0",,"Newport Bay",,4,,"Irvine",,,"Random","Random",2113,,"33.657110000000003","-117.72183","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/IRVF20@ETGC_Irvine/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.753","*1000-34-6960*","1"
6,"56.0","IRVMPF15P11","0",,"Newport Bay",,4,,"Irvine",,,"Random","Random",2286,,"33.653449999999999","-117.83394","Outfall",,,,,,,,,"PFRDNET\AbellarR","2010-06-02 15:56:03.847","*1000-43-4609*","1"
6,"57.0","LAFPS@A01","0",,"San Gabriel River - Coyote Creek",,4,,"Los Alamitos",,,"Target","Targeted",2114,,"33.815559999999998","-118.06944","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LAFPS@A01_Los Alamitos/",,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.383","*1000-34-6962*","1"
6,"58.0","LFDIM@LFD","0",,"Newport Bay",,4,,"Lake Forest",,,"Target","Targeted",2115,,"33.664169999999999","-117.66901","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LFDIM@LFD_Lake Forest/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.950","*1000-34-6963*","1"
6,"59.0","LFF19P07@RP","0",,"Newport Bay",,4,,"Lake Forest",,,"Target","Eliminated 10",2116,,"33.670879999999997","-117.6647","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LFF19P07@RP_Lake Forest/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.953","*1000-34-6964*","1"
6,"60.0","LFF19S02@PB","0",,"Newport Bay",,4,,"Lake Forest",,,"Target","Targeted",2117,,"33.660989999999998","-117.67707","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LFF19S02@PB_Lake Forest/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.957","*1000-34-6965*","1"
6,"61.0","LGHF23@MP","0",,"Newport Bay",,4,,"Laguna Hills",,,"Target","Eliminated 07",2118,,"33.62706","-117.7323",,,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LGHF23@MP_Laguna Hills/",,"PFRDNET\AbellarR","2010-06-02 15:56:03.860","*1000-34-6966*","1"
6,"62.0","LGHF23@SV","0",,"Newport Bay",,4,,"Laguna Hills",,,"Target","Eliminated 11",2119,,"33.628320000000002","-117.74026000000001","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LGHF23@SV_Laguna Hills/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.990","*1000-34-6968*","1"
6,"63.0","LGHF23S02","0",,"Newport Bay",,4,,"Laguna Hills",,,"Random","Random",2120,,"33.621299999999998","-117.7247","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Random Sites/LGHF23S02_Laguna Hills/",,"PFRDNET\VonBitnerTe","2011-08-25 08:34:59.993","*1000-34-6970*","1"
6,"64.0","LHA01P10","0",,"San Gabriel River - Coyote Creek",,4,,"La Habra",,,"Random","Random",2121,,"33.923259999999999","-117.94386","Outfall",,,,,,,"ftp://watershed-mgr:2alau54n@pfrdftp.ocgov.com/NPDESstormwater/DAMP/11.0 Water Quality Monitoring/Santa Ana Region Dry Weather Monitoring Program/SAR Targeted Sites/LHA01P10_La Habra/",,"PFRDNET\VonBitnerTe","2011-08-25 09:08:57.383","*1000-34-6977*","1"
6,"65.0","LHA0760DSEUC","0",,"San Gabriel River - Coyote Creek",,4,,"La Habra",,,"Target","Eliminated 16",4489,,"33.917119999999997","-117.94932","Outfall",,,,,,,,,"LabTrackApiUser","2017-03-30 07:23:33.390","*1000-65-5103*","1"
